reason,name,modelNumber,manufacturer,vendor,description,category,unit,tier,collection,color,finish,price,productUrl,imageUrl,sourceWorkbook,sourceSheet,sourceRow,confidence
missing_manufacturer,Flooring,VV872,,,,,ea,,,,,950.00,,,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,848 | 816,high
missing_manufacturer,Flooring Kitchen Floor LVT Sonia Marble 166 Sq Ft,VV872,,ProSource,Flooring Kitchen Floor LVT Sonia Marble 166 Sq Ft 1410 926.21,Flooring,sqft,,,,,926.21,,,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,284 | 221,high
missing_manufacturer,Flooring LVT Coretec Iona Stone 90 SQ FT -12266 950,VV872,,ProSource,Flooring LVT Coretec Iona Stone 90 SQ FT -12266 950 463.11,Flooring,sqft,,,,,463.11,,,normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,231,high
missing_manufacturer,3 - Hooks,W000078398,,Wayfair,3 - Hooks SKU: 87 86.55 Cabinet & (3) Hooks,Cabinetry,ea,,,,,86.55,https://www.wayfair.com/home-improvement/pdp/rebrilliant-clairview-wall-mounted-robe-hook-w000078398.html?piid=477188212,,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,240 | 141 | 190 | 311 | 237 | 137 | 106,high
missing_manufacturer,"36"" Free Standing Cabinet Storage",W112248263,,,,Cabinetry,ea,,,,,325.49,https://www.wayfair.com/storage-organization/pdp/hokku-designs-palace-imports-100-solid-wood-short-bathroom-linen-cabinet-with-doors-drawers-adjustable-shelves-modular-bathroom-laundry-storage-cabinet-32-w-x-3575-h-w112248274.html?piid=843716567,,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,241 | 138 | 191 | 312 | 234,high
missing_manufacturer,"Cabinet 36"" Free Standing Cabinet Storage",W112248263,,Wayfair,"Cabinet 36"" Free Standing Cabinet Storage SKU: 1300 326 325.49 Cabinet & (3) Hooks",Cabinetry,ea,,,,,325.49,https://www.wayfair.com/storage-organization/pdp/hokku-designs-palace-imports-100-solid-wood-short-bathroom-linen-cabinet-with-doors-drawers-adjustable-shelves-modular-bathroom-laundry-storage-cabinet-32-w-x-3575-h-w112248274.html?piid=843716567,,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,134 | 104,high
missing_manufacturer,Shower Wall Tile 93 sq ft MSI Veneto White Matte 12x24 NVEN,WHI1224,,,Shower Wall Tile 93 sq ft MSI Veneto White Matte 12x24 NVENEWHI1224 1200 340 ProSource,,sqft,,,,,0.00,https://www.msisurfaces.com/site-search/?key=Veneto%20White,,compiled_products_db.xlsx,Sheet1,113,high
missing_manufacturer,Backsplash Tile MSI Renzo NRENJAD3 GLOSSY ProSource,X12,,,Backsplash Tile MSI Renzo NRENJAD3X12 GLOSSY 1200 261.3 ProSource,,ea,,,,,261.30,,,compiled_products_db.xlsx,Sheet1,283,high
missing_manufacturer,Hall Mirror,X24,,Amazon,,Mirror,ea,,,,,,https://www.amazon.com/dp/B0GVNNH87N?ref_=ppx_printOD_title_dt_b_fed_asin_title_0_0&th=1,,Product_Master_Enhanced.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Product Occurrences,37 | 107 | 91 | 181,high
missing_manufacturer,"Grab Bar 18"" Vertical",YG0418BN,,Ferguson,,,ea,,,,,,https://www.fergusonhome.com/moen-yg0418/s1084794?uid=2709208,,Product_Master_Extract.xlsx,Sheet1,14,high
missing_manufacturer,"Grab Bar 36"" Hortizal",YG0436BN,,Ferguson,,,ea,,,,,,https://www.fergusonhome.com/moen-yg0436/s1084795?uid=2709209,,Product_Master_Extract.xlsx,Sheet1,15,high
vendor_present_missing_or_invalid_price,Cubby 17x17,CUBBY17X17,Sentrel Products,Sentrel Products,,Hall Bath Sentrel,ea,,,,,,,,,John Daye 39938-CJC,61,high
vendor_present_missing_or_invalid_price,Cubby 17x26,CUBBY17X26,Sentrel Products,Sentrel Products,,Master Bathroom Shower Wall System,ea,,,,,,,,,John Daye 39938-CJC,33,high
