key,field,existing,incoming,existing_source,incoming_source
"('mm', 'panasonic', 'FV-0510VS1')",name,Panasonic 100 CFM 0.9 Sone Ceiling Mounted HVI Certified Exhaust Fan,Exhaust Fan,Product Library | Raw Extract | Raw Records | Product Master,Product_Master_Warehouse.xlsx::Product Occurrences
"('mm', 'kohler', 'K-2210')",name,(2) Kohler Caxton Oval Undermount Bathroom Sink with Overflow,Sink,Product Library | Raw Records | Product Master | Raw Extract,Product_Master_Warehouse.xlsx::Product Occurrences
"('mm', 'kohler', 'K-22022')",name,Faucet-Kohler Tempered 1.2 GPM Single Hole Bathroom Faucet with Pop-Up Drain Assembly,Faucet,Product Library | Raw Extract | Raw Records | Product Master,Product_Master_Warehouse.xlsx::Product Occurrences
"('mm', 'kohler', 'K-26802')",name,Toilet Seat Impro Round,Toilet  Seat - Round,Product Library | Raw Extract | Raw Records | Product Master | Product Occurrences,Product_Master_Warehouse.xlsx::Product Occurrences
"('mm', 'kohler', 'K-26802')",name,Toilet Seat Impro Round,Toilet  Seat - Round,Product Library | Raw Extract | Raw Records | Product Master | Product Occurrences,Product_Master_Warehouse.xlsx::Product Occurrences
"('mm', 'kohler', 'K-2210')",name,(2) Kohler Caxton Oval Undermount Bathroom Sink with Overflow,Sink,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,Product_Master_Warehouse.xlsx::Product Occurrences
"('mm', 'kohler', 'K-22022')",name,Faucet-Kohler Tempered 1.2 GPM Single Hole Bathroom Faucet with Pop-Up Drain Assembly,Faucet,Product Library | Raw Extract | Raw Records | Product Master | Product Occurrences,Product_Master_Warehouse.xlsx::Product Occurrences
"('mm', 'kohler', 'K-26109')",name,Bath Tub right Drain,Kohler Tub - Entity,Product Library | Raw Records | Product Master | Raw Extract,Product_Master_Warehouse.xlsx::Product Occurrences
"('mm', 'kohler', 'K-20000')",name,(2) Sinks Rect,Sink,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,Product_Master_Warehouse.xlsx::Product Occurrences
"('mm', 'kohler', 'K-22022')",name,Faucet-Kohler Tempered 1.2 GPM Single Hole Bathroom Faucet with Pop-Up Drain Assembly,Faucet -,Product Library | Raw Extract | Raw Records | Product Master | Product Occurrences,Product_Master_Warehouse.xlsx::Product Occurrences
"('mm', 'panasonic', 'FV-0510VSL1')",name,(1) Bath Exhusted Fan  w/Light,Exhaust Fan,Product Library | Raw Records | Product Master | Raw Extract,Product_Master_Warehouse.xlsx::Product Occurrences
"('mm', 'kohler', 'K-20000')",name,(2) Sinks Rect,Master Sink,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,Product_Master_Warehouse.xlsx::Product Occurrences
"('mm', 'kohler', 'K-20000')",name,(2) Sinks Rect,Hall Sink,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,Product_Master_Warehouse.xlsx::Product Occurrences
"('mm', 'panasonic', 'FV-0510VSL1')",name,(1) Bath Exhusted Fan  w/Light,Exhaust Fan,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,Product_Master_Warehouse.xlsx::Product Occurrences
"('mm', 'panasonic', 'FV-0510VS1')",name,Panasonic 100 CFM 0.9 Sone Ceiling Mounted HVI Certified Exhaust Fan,Exhaust Fan,Product Library | Raw Extract | Raw Records | Product Master | Product Occurrences,Product_Master_Warehouse.xlsx::Product Occurrences
"('mm', 'dreamline', 'DLT-1130601')",name,"DreamLine SlimLine 30"" x 60"" Shower Base with Single Threshold and Left-Side Drain",Shower Base Left Drain 30x60,Product Library | Raw Extract | Raw Records | Product Master,Product_Master_Warehouse.xlsx::Product Occurrences
"('mm', 'kohler', 'K-706015')",name,"Kohler Levity 74"" High x 59-5/8"" Wide Bypass Frameless Shower Door with Clear Glass",Shower Door -,Product Library | Raw Extract | Raw Records | Product Master,Product_Master_Warehouse.xlsx::Product Occurrences
"('mm', 'panasonic', 'FV-0510VSL1')",name,(1) Bath Exhusted Fan  w/Light,Whisper Exhaust Fan with Light,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,Product_Master_Warehouse.xlsx::Product Occurrences
"('mm', 'panasonic', 'FV-0510VS1')",name,Panasonic 100 CFM 0.9 Sone Ceiling Mounted HVI Certified Exhaust Fan,Exhaust Fan,Product Library | Raw Extract | Raw Records | Product Master | Product Occurrences,Product_Master_Warehouse.xlsx::Product Occurrences
"('mm', 'kohler', 'K-31620')",name,Toilet - elongated Chair Height,Toilet Tank,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,Product_Master_Warehouse.xlsx::Product Occurrences
"('mm', 'kohler', 'K-31620')",name,Toilet - elongated Chair Height,Toilet Seat,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,Product_Master_Warehouse.xlsx::Product Occurrences
"('mm', 'kohler', 'K-8304')",name,Shower Fixures / Valve,Shower Valve,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,Product_Master_Warehouse.xlsx::Product Occurrences
