workbook,sheet,row,name,modelNumber,manufacturer,vendor,description,category,price,url,finish,color,collection,is_noise
normalized_products_db.xlsx,Sheet1,1021,Towel Ring  in ferguson order  Ferguson  2025-11-11 00:00:00,,,Ferguson,Towel Ring  in ferguson order  Ferguson  2025-11-11 00:00:00,,0,,,,,0
normalized_products_db.xlsx,Sheet1,1022,Flooring  LVT - Lifeproof Ivory  57 Sq Ft 350 253.51 Home Depot  0.0 2015-11-11 00:00:00 0.0 0.0,,Lifeproof,Home Depot,Flooring  LVT - Lifeproof Ivory  57 Sq Ft 350 253.51 Home Depot  0.0 2015-11-11 00:00:00 0.0 0.0,Flooring,0,,,,,0
normalized_products_db.xlsx,Sheet1,1023,T-Molding  in home depot order 0.0,,,Home Depot,T-Molding  in home depot order 0.0,,,,,,,0
normalized_products_db.xlsx,Sheet1,1029,Eletric  Light 4 Blub  300 291.51 Idlewood Electric  2025-11-11 00:00:00,,,Idlewood,Eletric  Light 4 Blub  300 291.51 Idlewood Electric  2025-11-11 00:00:00,Electrical,0,,,,,0
normalized_products_db.xlsx,Sheet1,1030,Exhaust Fan FV-0510VSL1 200 in Feruson Order  Ferguson  2025-11-11 00:00:00,,,Ferguson,Exhaust Fan FV-0510VSL1 200 in Feruson Order  Ferguson  2025-11-11 00:00:00,Electrical,0,,,,,0
normalized_products_db.xlsx,Sheet1,1036,Faucet & Pedestral sink  300 768.64 Home Depot Ordered  0.0 0.0 0.0,,,Home Depot,Faucet & Pedestral sink  300 768.64 Home Depot Ordered  0.0 0.0 0.0,Plumbing,768.64,,,,,0
normalized_products_db.xlsx,Sheet1,1037,Lighted Medicine Cabinet  500 with sink and faucet  Home Depot ordered  0.0 0.0 0.0,,,Home Depot,Lighted Medicine Cabinet  500 with sink and faucet  Home Depot ordered  0.0 0.0 0.0,Plumbing,500,,,,,0
normalized_products_db.xlsx,Sheet1,1038,Flooring  LVT - Lifeproof 25sq est 200 172.3 HomeDepot Ordered  0.0 0.0 0.0,,Lifeproof,,Flooring  LVT - Lifeproof 25sq est 200 172.3 HomeDepot Ordered  0.0 0.0 0.0,Flooring,172.3,,,,,0
normalized_products_db.xlsx,Sheet1,1039,Wall tile  Tile on Sink Wall 18 Sq Ft Est  200 683.51 Home Depot Ordered  0.0 2025-09-29 00:00:00 0.0 0.0,,,Home Depot,Wall tile  Tile on Sink Wall 18 Sq Ft Est  200 683.51 Home Depot Ordered  0.0 2025-09-29 00:00:00 0.0 0.0,Plumbing,0,,,,,0
normalized_products_db.xlsx,Sheet1,1048,Faucet  - Ferguson Order  482.78 Ferguson  0.0 2025-09-07 00:00:00 1.0 2025-09-25 00:00:00 1.0,,,Ferguson,Faucet  - Ferguson Order  482.78 Ferguson  0.0 2025-09-07 00:00:00 1.0 2025-09-25 00:00:00 1.0,Plumbing,0,,,,,0
normalized_products_db.xlsx,Sheet1,1050,Flooring  LVT - Lifeproof Chiffon Lace  6500 4915.55 Home Depot w/hardware  0.0 2025-09-07 00:00:00 1.0 2025-09-25 00:00,,Lifeproof,Home Depot,Flooring  LVT - Lifeproof Chiffon Lace  6500 4915.55 Home Depot w/hardware  0.0 2025-09-07 00:00:00 1.0 2025-09-25 00:00:00 1.0,Flooring,0,,,,,0
