manufacturer,manufacturerNorm,modelNumber,modelStem,name,description,category,unit,tier,collection,color,finish,productUrl,imageUrl,confidence,sourceWorkbook,sourceSheet,sourceRow,rowsInKey,distinctNamesInKey,distinctVendorsInKey,distinctColorFinishInKey
Kohler,kohler,K-26109,K26109,Bath Tub right Drain,Tub - Entity,Tub,ea,,,,,https://www.fergusonhome.com/kohler-k-26109-ra/s1699736?uid=4011572,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,137 | 138 | 26 | 79 | 267 | 98 | 216 | 82 | 35 | 485 | 881,1,1,1,0
Kohler,kohler,K-26322,K26322,"Shower Fixture 15"" / Arm MODEL: -CP",,Shower,ea,,,,,https://www.fergusonhome.com/kohler-k-26322/s1816373?uid=4302982,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,139 | 48 | 99 | 217 | 37 | 53 | 49,1,1,1,0
Kohler,kohler,K-26634,K26634,"24"" Towel Bar","24"" Towel Bar -BL 135.65200000000002 Noted Judy Picked up",Hardware,ea,,,,,https://www.fergusonhome.com/kohler-k-26634/s1715840?uid=4056148,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,140 | 31 | 100 | 40 | 39,1,1,1,0
Kohler,kohler,K-26636,K26636,Robe Hooks,Robe Hooks -BL 96.91 Left on office,,ea,,,,,https://www.fergusonhome.com/kohler-k-26636/s1714790?uid=4056139,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,141 | 32 | 101 | 41 | 40,1,1,1,0
Kohler,kohler,K-26801,K26801,Toilet Seat,,Toilet,ea,,,,,https://www.fergusonhome.com/kohler-k-26801/s1921483?uid=4539315,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,142 | 143 | 82 | 192 | 102 | 218 | 85 | 77 | 67 | 749,1,1,1,0
Kohler,kohler,K-26802,K26802,Toilet Seat Impro Round,Toilet Seat - Round,Uncategorized,ea,,,,,https://www.fergusonhome.com/kohler-k-26802/s1921485?uid=4539318,,high,Product_Master_Catalog_v3.xlsx | Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Extract | Raw Records | Product Master | Product Occurrences | Sheet1,13 | 24 | 144 | 145 | 6 | 57 | 63 | 66 | 103 | 35 | 46 | 52 | 55 | 11 | 14 | 428 | 436 | 442,2,2,1,0
Kohler,kohler,K-27118,K27118,Shower Set-up,,Shower,ea,,,,,https://www.fergusonhome.com/kohler-k-27118-g/s1865987?uid=4410726,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,146 | 150 | 104 | 219 | 248 | 143 | 112,2,2,1,0
Kohler,kohler,K-27383,K27383,"(2) 18"" Towel Bar",,Hardware,ea,,,,,https://www.amazon.com/dp/B0BHTTQC9G?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,147 | 142 | 105 | 220 | 238 | 138 | 107,1,1,1,0
Kohler,kohler,K-27388,K27388,(2) Faucet & Drain Kit Simplice,(2) Faucet & Drain Kit Simplice -4-BN 524.634,Faucet,ea,,,,,https://www.fergusonhome.com/kohler-k-27388-4/s1873551?uid=4428973,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,148 | 194 | 106 | 178 | 136,1,1,1,0
Kohler,kohler,K28563,K28563,Tub Spout,,Tub,ea,,,,,https://www.fergusonhome.com/kohler-k-28563/s1733720?uid=4101127,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,189 | 171 | 144 | 236 | 270 | 160 | 123,1,1,1,0
Kohler,kohler,K-28876,K28876,Undermount Sink Single Bowl -NA,,Plumbing,ea,,,,,,,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,282 | 219,1,1,1,0
