name,modelNumber,manufacturer,vendor,description,category,unit,tier,collection,color,finish,price,productUrl,imageUrl,sourceType,sourceWorkbook,sourceSheet,sourceRow,confidence
Mirror -BLG 400,K-26050,,Ferguson,Mirror -BLG 400 227.931 1.0,,ea,,,,,227.93,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,262 | 185,high
Hardware Handles,K-26640,,,,,ea,,,,,61.14,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,591 | 563,high
Hardware Handles -2MB,K-26640,,Ferguson,Hardware Handles -2MB 61.138 1.0,Hardware,ea,,,,,61.14,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,256 | 179,high
Toilet Seat,K-26801,,,,,ea,,,,,58.30,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,625 | 657 | 597,high
Toilet Seat -0,K-26801,,Ferguson,Toilet Seat -0 58.3 1.0,Plumbing,ea,,,,,58.30,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,267 | 194 | 971,high
Toilet Seat Impro Round,K-26802,,Ferguson,,,ea,,,,,,https://www.fergusonhome.com/kohler-k-26802/s1921485?uid=4539318,,derived,Product_Master_Extract.xlsx,Sheet1,6,high
"(2) 18"" Kohler Towel Bar",K-27383,,,,,ea,,,,,88.00,https://www.amazon.com/dp/B0BHTTQC9G?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,363 | 347,high
Ferguson,K-27390,,,,,ea,,,,,,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,894 | 907 | 910 | 927 | 939 | 942 | 854,high
Faucet -4 400,K-27415,,Ferguson,Faucet -4-CP 400 233.26600000000002,Plumbing,ea,,,,,233.27,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,298 | 236,high
Shower Fixtures / Tub Spot,K-27422,,,,,ea,,,,,72.26,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,852 | 820,high
Shower Fixtures / Tub Spot -CP,K-27422,,Amazon,Shower Fixtures / Tub Spot -CP 72.26,Plumbing,ea,,,,,72.26,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,294 | 232,high
Towel Bars (3),K-27426,,,,,ea,,,,,185.16,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,871 | 831,high
Towel Bars (3) -CP,K-27426,,Ferguson,Towel Bars (3) -CP 185.163,Hardware,ea,,,,,185.16,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,300 | 238,high
Toilet paper Holder,K-27429,,,,,ea,,,,,50.83,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,870 | 830,high
Toilet paper Holder -CP,K-27429,,Ferguson,Toilet paper Holder -CP 50.831,Plumbing,ea,,,,,50.83,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,299 | 237,high
Undermount Sink Single Bowl Kohler,K-28876,,,,,ea,,,,,,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,792 | 761,high
Add-on Toilet,K-30810,,,,,ea,,,,,416.90,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,858 | 822,high
Add-on Toilet -0,K-30810,,Ferguson,Add-on Toilet -0 416.9,Plumbing,ea,,,,,0.00,,,derived,normalized_products_db.xlsx,Sheet1,1292,high
Toilet -0,K-30810,,Ferguson,Toilet -0 416.9,Plumbing,ea,,,,,0.00,,,derived,normalized_products_db.xlsx,Sheet1,1283,high
Toilet -0 300,K-30810,,Ferguson,Toilet -0 300 416.9 1.0,Plumbing,ea,,,,,416.90,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,259 | 182,high
Toilet Tank,K-31614,,Ferguson,,Toilet,ea,,,,,158.91,https://www.fergusonhome.com/search?term=K-31614-0,,derived,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,153 | 56 | 62 | 65 | 111 | 37 | 45 | 51 | 54,high
Toilet Tank -0,K-31614,,Ferguson,Toilet Tank -0 158.906,Plumbing,ea,,,,,158.91,https://www.fergusonhome.com/search?term=K-31614-0,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,61 | 57 | 435 | 441,high
Toilet Kohler Ciminron Round Chair Height,K-31640,,Ferguson,,,ea,,,,,,https://www.fergusonhome.com/kohler-k-31640/s1808951?uid=4283712,,derived,Product_Master_Extract.xlsx,Sheet1,5,high
Vanity Light,K-31757,,,,,ea,,,,,350.00,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,599 | 571,high
Vanity Light -S03 350,K-31757,,Ferguson,Vanity Light -S03-2GL 350 364.518 1.0,Electrical,ea,,,,,364.52,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,263 | 186,high
"Kohler Levity 74"" High x 59 /8"" Wide Bypass Frameless Shower Door with Clear Glass",K-706015,,Home Depot (Freight),,,ea,,,,,,https://www.fergusonhome.com/kohler-k-706015-l/s847083?uid=2180321,,derived,Product_Master_Extract.xlsx,Sheet1,17,high
Add on Tub (Cost in addon ),K-716,,,,,ea,,,,,0.00,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,859 | 823,high
Add on Tub (Cost in addon ) -0 0,K-716,,Ferguson,,Plumbing,ea,,,,,0.00,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,296 | 234,high
Add on Tub Drain (Cost in addon ),K-73213,,,,,ea,,,,,0.00,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,860 | 824,high
Add on Tub Drain (Cost in addon ) -CP 0,K-73213,,Ferguson,,Plumbing,ea,,,,,0.00,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,297 | 235,high
Shower Fixture / Arm,K-7397,,,,,ea,,,,,66.58,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,840 | 854 | 809,high
Shower Fixture / Arm -CP,K-7397,,Ferguson,Shower Fixture / Arm -CP 66.583,Plumbing,ea,,,,,66.58,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,288 | 225 | 1289,high
Shower Fixures / Valve,K-8304,,,,,ea,,,,,126.02,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,838 | 856 | 807,high
Shower Fixures / Valve -KS,K-8304,,Ferguson,Shower Fixures / Valve -KS-NA 126.016,Plumbing,ea,,,,,0.00,,,derived,normalized_products_db.xlsx,Sheet1,1282 | 1290,high
Shower Valve,K-8304,,,,,ea,,,,,126.02,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,641 | 613,high
Shower Valve -KS,K-8304,,Ferguson,Shower Valve -KS-NA 126.016 1.0,Plumbing,ea,,,,,126.02,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,268 | 196,high
Shower Handheld Slide Bar,K-8524,,,,,ea,,,,,338.27,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,683 | 654,high
Shower Handheld Slide Bar -BN,K-8524,,Ferguson,Shower Handheld Slide Bar -BN 338.272 1.0,Plumbing,ea,,,,,338.27,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,280 | 217,high
Kohler Shower Base 36x34,K-8644,,,,,ea,,,,,525.28,https://www.homedepot.com/p/KOHLER-Rely-36-in-L-x-34-in-W-Alcove-Shower-Pan-Base-with-Center-Drain-in-White-K-8644-0/315752376,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,540 | 514,high
Kohler Shower Drain,K-9132,,,,,ea,,,,,127.52,https://www.fergusonhome.com/kohler-k-9132/s567087?uid=176032,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,541 | 515,high
Shower Breaker Vacuum,K-9660,,,,,ea,,,,,75.77,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,621 | 593,high
Shower Breaker Vacuum -2MB,K-9660,,Ferguson,Shower Breaker Vacuum -2MB 75.768 1.0,Plumbing,ea,,,,,75.77,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,264 | 191,high
Shower Vacumn,K-9660,,,,,ea,,,,,47.50,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,841 | 857 | 810,high
Shower Vacumn -CP,K-9660,,Ferguson,Shower Vacumn -CP 47.5,Plumbing,ea,,,,,47.50,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,289 | 226 | 1291,high
Shower Vacuum Breaker,K-9660,,,,,ea,,,,,75.77,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,682 | 653,high
Shower Vacuum Breaker -BN,K-9660,,Ferguson,Shower Vacuum Breaker -BN 75.768 1.0,Plumbing,ea,,,,,75.77,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,279 | 216,high
Vacuum Breaker,K-9660,,,,,ea,,,,,75.68,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,647 | 619,high
Vacuum Breaker -BV,K-9660,,Ferguson,Vacuum Breaker -BV 75.67999999999999 1.0,,ea,,,,,75.68,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,274 | 202,high
Tub Filler Mount,K-97339,,,,,ea,,,,,177.09,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,651 | 623,high
Tub Filler Mount -NA 177. Southern Pipe,K-97339,,,Tub Filler Mount -NA 177.0937 Southern Pipe 1.0,Plumbing,ea,,,,,177.09,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,276 | 206,high
Shower Slide Bar Trim Kit,K-974,,,,,ea,,,,,53.13,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,684 | 655,high
Shower Slide Bar Trim Kit -BN,K-974,,Ferguson,Shower Slide Bar Trim Kit -BN 53.129999999999995 1.0,Plumbing,ea,,,,,53.13,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,281 | 218,high
Diverter Trim,K-T14491,,,,,ea,,,,,286.84,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,643 | 615,high
Diverter Trim -4,K-T14491,,Ferguson,Diverter Trim -4-BV 286.836 1.0,,ea,,,,,286.84,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,270 | 198,high
Soaker Tub Filler w/Diverter,K-T97328,,,,,ea,,,,,2940.35,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,650 | 622,high
Soaker Tub Filler w/Diverter -4 Southern Pipe,K-T97328,,,Soaker Tub Filler w/Diverter -4-BV 2940.35 Southern Pipe 1.0,Plumbing,ea,,,,,2940.35,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,275 | 205,high
Shower Head & Trim,K-TS14422,,,,,ea,,,,,699.37,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,642 | 614,high
